City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sisimiut,66.9395,-53.6735,-8.94,82,45,3.99,GL,1714871359
83,el coacoyul,17.6167,-101.4333,26.53,74,0,3.09,MX,1714871359
84,nar'yan-mar,67.6713,53.087,-13.83,100,100,1.79,RU,1714871359
85,noosa heads,-26.3833,153.15,22.28,75,78,3.6,AU,1714871359
86,zhezqazghan,47.7833,67.7667,10.32,87,75,3.0,KZ,1714871359
87,igarka,67.4667,86.5833,-8.32,91,27,3.58,RU,1714871359
88,hilo,19.7297,-155.09,25.53,80,75,6.69,US,1714871187
89,kenai,60.5544,-151.2583,11.05,46,100,6.69,US,1714871360
90,hermanus,-34.4187,19.2345,14.07,81,61,2.86,ZA,1714871360
91,medicine hat,50.0501,-110.6683,16.58,26,75,3.09,CA,1714870802
92,rio gallegos,-51.6226,-69.2181,2.91,66,100,12.04,AR,1714871336
93,lichuan,30.3,108.85,14.65,78,0,0.83,CN,1714871360
94,tiksi,71.6872,128.8694,-3.46,91,100,2.5,RU,1714871360
95,college,64.8569,-147.8028,15.99,38,40,4.63,US,1714871360
96,port alfred,-33.5906,26.891,19.29,81,100,5.68,ZA,1714871361
97,iqaluit,63.7506,-68.5145,-11.16,95,50,1.66,CA,1714871345
98,santana,-0.0583,-51.1817,27.1,94,20,1.54,BR,1714871361
99,sao joao da barra,-21.6403,-41.0511,22.05,88,0,5.42,BR,1714871091
100,okhotsk,59.3833,143.3,3.38,75,57,2.53,RU,1714871361
101,wailua homesteads,22.0669,-159.378,27.24,83,40,7.2,US,1714871361
102,havre,49.5833,0.3333,11.87,76,0,2.57,FR,1714871361
103,margate,51.3813,1.3862,9.27,90,20,2.03,GB,1714871152
104,holma,9.9008,13.0567,29.12,46,100,1.02,NG,1714871362
105,nova vicosa,-17.8919,-39.3719,25.39,84,5,2.76,BR,1714871362
106,thompson,55.7435,-97.8558,5.09,81,100,4.12,CA,1714871362
107,keflavik,64.0049,-22.5624,4.24,93,100,4.12,IS,1714871362
108,klyuchi,52.2667,79.1667,12.45,64,99,1.15,RU,1714871362
109,horsham,51.064,-0.3272,9.2,85,12,1.54,GB,1714871362
110,holualoa,19.6228,-155.9522,25.91,77,100,4.12,US,1714871362
111,dalbandin,28.8947,64.4101,24.56,35,4,2.83,PK,1714871363
112,whitehorse,60.7161,-135.0538,11.84,31,100,7.6,CA,1714871363
113,ilulissat,69.2167,-51.1,-6.99,86,100,2.06,GL,1714871363
114,zhangye,38.9342,100.4517,19.03,11,4,1.8,CN,1714871363
115,pineda de mar,41.6276,2.6889,18.88,85,100,0.7,ES,1714871363
116,kapa'a,22.0752,-159.319,27.99,83,40,7.2,US,1714871363
117,jalor,25.35,72.6167,26.26,40,97,2.96,IN,1714871179
118,hawaiian paradise park,19.5933,-154.9731,25.41,76,75,6.69,US,1714871363
119,alvorada,-12.48,-49.1247,24.27,51,5,2.04,BR,1714871082
120,mount pearl,47.5166,-52.7813,2.3,95,100,6.17,CA,1714871115
121,princeville,45.7668,-61.2985,7.01,89,100,2.57,CA,1714871364
122,beau vallon,-20.4189,57.6953,21.79,75,61,8.56,MU,1714871364
123,ar rutbah,33.0381,40.2848,18.13,38,99,5.77,IQ,1714871237
124,teshi old town,5.5836,-0.1072,28.71,80,8,3.97,GH,1714871364
125,kargasok,59.0556,80.8572,1.65,91,100,6.71,RU,1714871365
126,n'zeto,-7.2312,12.8666,24.81,92,99,3.81,AO,1714871365
127,weno,7.4515,151.8468,28.72,78,71,6.63,FM,1714871365
128,kalemie,-5.9475,29.1947,20.89,88,100,1.23,CD,1714871365
129,praia da vitoria,38.7333,-27.0667,15.6,89,21,2.7,PT,1714871365
130,borogontsy,62.6683,131.1683,3.48,89,100,0.63,RU,1714871365
131,urangan,-25.3,152.9,22.42,75,45,2.34,AU,1714871365
132,carnarvon,-24.8667,113.6333,23.36,44,0,8.12,AU,1714871365
133,qaqortoq,60.7167,-46.0333,-0.64,62,4,0.99,GL,1714871366
134,boyolangu,-8.1181,111.8935,25.13,86,99,1.27,ID,1714871366
135,barcelos,41.5388,-8.6151,16.08,96,100,4.81,PT,1714871366
136,cabo san lucas,22.8909,-109.9124,28.12,44,40,3.6,MX,1714871226
137,port lincoln,-34.7333,135.8667,16.86,65,0,4.37,AU,1714871366
138,narrabri,-30.3167,149.7833,15.85,96,78,0.89,AU,1714871366
139,utrik,11.2278,169.8474,27.74,74,97,6.2,MH,1714871366
140,atafu village,-8.5421,-172.5159,28.8,79,100,2.5,TK,1714871366
141,mukalla,14.5425,49.1242,28.85,75,19,2.44,YE,1714871367
142,jamestown,42.097,-79.2353,14.77,90,100,5.66,US,1714871367
143,pita,10.8333,-12.5833,27.48,73,99,1.03,GN,1714871367
144,rumbek,6.802,29.6912,24.4,72,73,1.83,SS,1714871367
145,bonthe,7.5264,-12.505,27.78,83,98,3.15,SL,1714871367
146,kidal,18.4411,1.4078,34.74,16,22,3.99,ML,1714871367
147,balaklava,44.5,33.6,7.99,49,0,4.79,UA,1714871367
148,geraldton,-28.7667,114.6,16.23,72,0,3.6,AU,1714871368
149,fort wellington,6.4,-57.6,26.49,90,100,5.39,GY,1714871368
150,descalvado,-21.9039,-47.6194,19.15,58,16,1.42,BR,1714871368
151,jeddah,21.5169,39.2192,25.92,73,0,0.0,SA,1714871368
152,gulf shores,30.246,-87.7008,25.56,73,83,3.03,US,1714871368
153,gumel,12.6279,9.3912,30.48,17,19,2.27,NG,1714871298
154,tazacorte,28.629,-17.9293,19.53,62,0,4.63,ES,1714871368
155,haiku-pauwela,20.9219,-156.3051,23.91,74,40,13.38,US,1714871368
156,afaahiti,-17.75,-149.2833,29.48,83,38,7.34,PF,1714871369
157,kudahuvadhoo,2.6708,72.8944,29.62,74,82,5.47,MV,1714871369
158,xinqing,48.2333,129.5,13.77,42,100,2.97,CN,1714871369
159,kavieng,-2.5744,150.7967,28.88,79,67,2.82,PG,1714871369
160,punta arenas,-53.15,-70.9167,2.06,64,0,5.66,CL,1714871207
161,grants,35.1473,-107.8514,19.13,19,75,6.17,US,1714871369
162,la'ie,21.6477,-157.9253,26.98,69,100,9.91,US,1714871369
163,vilyuchinsk,52.9306,158.4028,4.15,96,100,1.8,RU,1714871370
164,portland,45.5234,-122.6762,10.66,94,100,2.68,US,1714871175
165,codrington,-38.2667,141.9667,16.04,70,37,3.17,AU,1714871370
166,gao,16.6362,1.637,35.01,16,68,1.08,ML,1714871370
167,orerokpe,5.6351,5.8896,25.46,94,90,1.18,NG,1714871370
168,pisco,-13.7,-76.2167,20.03,83,0,2.06,PE,1714871370
169,yanbu,24.0891,38.0637,25.02,61,0,5.14,SA,1714871370
170,coquimbo,-29.9533,-71.3436,15.04,64,100,1.6,CL,1714871215
171,kapuskasing,49.4169,-82.4331,13.12,79,100,1.95,CA,1714871282
172,touros,-5.1989,-35.4608,26.57,84,39,4.9,BR,1714871114
173,labuan,5.2767,115.2417,27.94,77,36,2.95,MY,1714871371
174,port mathurin,-19.6833,63.4167,25.64,74,13,8.24,MU,1714871371
175,lompoc,34.6391,-120.4579,16.68,88,100,4.63,US,1714871371
176,constantia,44.1833,28.65,9.38,79,0,4.4,RO,1714871371
177,illizi,26.4833,8.4667,26.22,19,5,2.37,DZ,1714871371
178,barranca,-10.75,-77.7667,19.43,87,17,2.7,PE,1714871177
